Mikhail Sholokhov	male	Nobel Prize in Literature	1965-01-01T00:00:00Z	1905-05-24T00:00:00Z	Kruzhilin	Russia	1984-02-21T00:00:00Z
Anatole France	male	Nobel Prize in Literature	1921-01-01T00:00:00Z	1844-04-16T00:00:00Z	Paris	France	1924-10-12T00:00:00Z
J. M. Coetzee	male	Nobel Prize in Literature	2003-01-01T00:00:00Z	1940-02-09T00:00:00Z	Cape Town	South Africa	
Gerhart Hauptmann	male	Nobel Prize in Literature	1912-01-01T00:00:00Z	1862-11-15T00:00:00Z	Szczawno-Zdrój	Poland	1946-06-06T00:00:00Z
William Golding	male	Nobel Prize in Literature	1983-01-01T00:00:00Z	1911-09-19T00:00:00Z	Newquay	United Kingdom	1993-06-19T00:00:00Z
Rudolf Mössbauer	male	Nobel Prize in Physics	1961-01-01T00:00:00Z	1929-01-31T00:00:00Z	Munich	Germany	2011-09-14T00:00:00Z
Czesław Miłosz	male	Nobel Prize in Literature	1980-01-01T00:00:00Z	1911-06-30T00:00:00Z	Šeteniai	Lithuania	2004-08-14T00:00:00Z
Bjørnstjerne Bjørnson	male	Nobel Prize in Literature	1903-01-01T00:00:00Z	1832-01-01T00:00:00Z	Kvikne	Norway	1910-01-01T00:00:00Z
Bjørnstjerne Bjørnson	male	Nobel Prize in Literature	1903-01-01T00:00:00Z	1832-12-08T00:00:00Z	Kvikne	Norway	1910-01-01T00:00:00Z
Bjørnstjerne Bjørnson	male	Nobel Prize in Literature	1903-01-01T00:00:00Z	1832-01-01T00:00:00Z	Kvikne	Norway	1910-04-26T00:00:00Z
Bjørnstjerne Bjørnson	male	Nobel Prize in Literature	1903-01-01T00:00:00Z	1832-12-08T00:00:00Z	Kvikne	Norway	1910-04-26T00:00:00Z
Ivan Bunin	male	Nobel Prize in Literature	1933-01-01T00:00:00Z	1870-01-01T00:00:00Z	Voronezh	Russia	1953-01-01T00:00:00Z
Ivan Bunin	male	Nobel Prize in Literature	1933-01-01T00:00:00Z	1870-10-22T00:00:00Z	Voronezh	Russia	1953-01-01T00:00:00Z
Ivan Bunin	male	Nobel Prize in Literature	1933-01-01T00:00:00Z	1870-01-01T00:00:00Z	Voronezh	Russia	1953-11-08T00:00:00Z
Ivan Bunin	male	Nobel Prize in Literature	1933-01-01T00:00:00Z	1870-10-22T00:00:00Z	Voronezh	Russia	1953-11-08T00:00:00Z
Octavio Paz	male	Nobel Prize in Literature	1990-01-01T00:00:00Z	1914-03-31T00:00:00Z	Mexico City	Mexico	1998-04-19T00:00:00Z
